Timestamp,Client_IP,Connection_ID,TLS_Handshake_Time,Key_Exchange_Time,Hybrid_Key_Generation_Time,Encryption_Time,Decryption_Time,Signing_Time,Signature_Verification_Time,Total_Signing_Time,Total_Encryption_Time,Total_Verifying_Time,Total_Decryption_Time,Total_Time_To_Sent_Or_Receive
31:55.3,"('192.168.1.109', 56788)",1,0.0295928,0.0212007,0.0008787,0.0003199,-1,0.0138467,-1,-1,-1,0.426993,0.3130129,4.724738
32:33.7,"('192.168.1.109', 56788)",1,0.0295928,0.0212007,0.0008787,0.0001307,-1,0.0004413,-1,-1,-1,0.4689986,0.346631,7.448895
33:04.9,"('192.168.1.109', 56788)",1,0.0295928,0.0212007,0.0008787,0.000107,-1,0.0003717,-1,-1,-1,0.545154,0.3975087,15.2168144
33:33.8,"('192.168.1.109', 56788)",1,0.0295928,0.0212007,0.0008787,0.000316,-1,0.0011993,-1,-1,-1,1.8824823,1.3521854,20.4717167
,,,,,,0.2184,,3.96475,,,,3.3236279,2.409338,47.8621641
