Timestamp, CPU_Usage, GPU_Usage, RAM_Usage, Power_Consumption
2025-04-29 12:30:45, 12.8, 0.0, 29.1, 3.465
2025-04-29 12:30:46, 1.7, 0.0, 29.2, 3.22
2025-04-29 12:30:47, 2.2, 0.0, 29.2, 3.179
2025-04-29 12:30:48, 3.7, 0.0, 29.1, 3.22
2025-04-29 12:30:49, 1.7, 0.0, 29.1, 3.179
2025-04-29 12:30:50, 2.2, 0.0, 29.1, 3.179
2025-04-29 12:30:51, 6.0, 0.0, 29.2, 3.302
2025-04-29 12:30:52, 6.1, 0.0, 29.2, 3.342
2025-04-29 12:30:53, 4.2, 0.0, 29.2, 3.302
2025-04-29 12:30:54, 2.8, 0.0, 29.2, 3.22
2025-04-29 12:30:55, 2.2, 17.4, 29.2, 3.22
2025-04-29 12:30:56, 1.7, 0.0, 29.2, 3.179
2025-04-29 12:30:57, 1.8, 0.0, 29.2, 3.22
2025-04-29 12:30:58, 11.8, 4.8, 29.3, 3.628
2025-04-29 12:30:59, 2.5, 0.0, 29.3, 3.261
2025-04-29 12:31:00, 1.8, 0.0, 29.3, 3.22
2025-04-29 12:31:01, 2.2, 0.0, 29.3, 3.22
2025-04-29 12:31:02, 2.0, 0.0, 29.3, 3.22
2025-04-29 12:31:03, 3.0, 0.0, 29.3, 3.342
2025-04-29 12:31:04, 3.7, 0.0, 29.3, 3.342
2025-04-29 12:31:05, 27.1, 0.0, 29.8, 4.199
2025-04-29 12:31:06, 5.2, 0.0, 29.8, 3.383
2025-04-29 12:31:08, 3.9, 0.0, 29.8, 3.302
2025-04-29 12:31:09, 3.2, 0.0, 29.8, 3.261
2025-04-29 12:31:10, 5.7, 0.0, 29.8, 3.383
2025-04-29 12:31:11, 3.2, 0.0, 29.8, 3.261
2025-04-29 12:31:12, 5.2, 0.0, 29.9, 3.302
2025-04-29 12:31:13, 15.9, 10.4, 33.2, 3.872
2025-04-29 12:31:14, 20.5, 0.0, 36.9, 3.954
2025-04-29 12:31:15, 20.3, 6.6, 40.5, 4.036
2025-04-29 12:31:16, 20.7, 0.0, 44.6, 4.036
2025-04-29 12:31:17, 13.4, 0.0, 46.1, 3.587
2025-04-29 12:31:18, 3.7, 0.0, 46.1, 3.342
2025-04-29 12:31:19, 3.5, 0.0, 46.2, 3.302
2025-04-29 12:31:20, 4.2, 39.6, 46.3, 3.383
2025-04-29 12:31:21, 11.4, 24.9, 47.0, 3.628
2025-04-29 12:31:22, 19.3, 0.0, 47.3, 3.872
2025-04-29 12:31:23, 36.9, 0.0, 48.4, 4.851
2025-04-29 12:31:24, 43.1, 0.0, 48.2, 5.259
2025-04-29 12:31:25, 42.9, 0.0, 48.1, 5.218
2025-04-29 12:31:26, 41.8, 0.0, 48.0, 5.136
2025-04-29 12:31:27, 43.0, 0.0, 48.6, 5.177
2025-04-29 12:31:28, 42.5, 0.0, 48.5, 5.177
2025-04-29 12:31:29, 42.8, 0.0, 48.5, 5.136
2025-04-29 12:31:30, 42.0, 0.0, 48.1, 5.136
2025-04-29 12:31:31, 42.1, 0.0, 48.6, 5.136
2025-04-29 12:31:32, 42.4, 0.0, 48.6, 5.096
2025-04-29 12:31:33, 42.4, 0.0, 48.5, 5.136
