Timestamp,Client_IP,Connection_ID,TLS_Handshake_Time,Key_Exchange_Time,Hybrid_Key_Generation_Time,Encryption_Time,Decryption_Time,Signing_Time,Signature_Verification_Time,Total_Signing_Time,Total_Encryption_Time,Total_Verifying_Time,Total_Decryption_Time,Total_Time_To_Sent_Or_Receive
31:54.1,1,1,0.02194915,0.018656422,0.002539027,-1,0.001549804,-1,0.013734243,2.347543743,0.671891972,-1,-1,2.018905728
32:32.4,1,1,0.02194915,0.018656422,0.002539027,-1,0.000908263,-1,0.001244361,2.567557052,0.655197758,-1,-1,4.502997938
33:03.6,1,1,0.02194915,0.018656422,0.002539027,-1,0.000708644,-1,0.001221065,2.58044332,0.799122253,-1,-1,12.15491764
33:32.5,1,1,0.02194915,0.018656422,0.002539027,-1,0.000719941,-1,0.001620427,8.580909043,2.177652453,-1,-1,11.69490399
,,,,,,,0.971663,,4.455024,16.07645316,4.303864436,,,30.3717253
