Timestamp,Client_IP,Connection_ID,TLS_Handshake_Time,Key_Exchange_Time,Hybrid_Key_Generation_Time,Encryption_Time,Decryption_Time,Signing_Time,Signature_Verification_Time,Total_Signing_Time,Total_Encryption_Time,Total_Verifying_Time,Total_Decryption_Time,Total_Time_To_Sent_Or_Receive
07:17.7,"('192.168.1.109', 56762)",1,0.0109654,0.0585626,0.0070198,0.0005571,-1,0.0146936,-1,-1,-1,0.4528507,0.299172,4.8028325
07:48.4,"('192.168.1.109', 56762)",1,0.0109654,0.0585626,0.0070198,0.0001585,-1,0.0007166,-1,-1,-1,0.5218207,0.3230315,9.7309942
08:08.1,"('192.168.1.109', 56762)",1,0.0109654,0.0585626,0.0070198,0.0004104,-1,0.0015398,-1,-1,-1,0.4091365,0.2521025,3.9728556
08:39.3,"('192.168.1.109', 56762)",1,0.0109654,0.0585626,0.0070198,8.60E-05,-1,0.0003577,-1,-1,-1,1.8452445,1.1269148,13.1127007
,,,,,,0.303,,4.326925,,,,3.2290524,2.0012208,31.619383
