Timestamp,Client_IP,Connection_ID,Encryption_Used,Signing_Used,Classic_Encryption_SharedSecret_Length,PQC_Encryption_SharedSecret_Length,Hybrid_AES_Key_Length,Classical_Signature_Length,PQC_Signature_Length,Signed_Msg_Length,Encrypted_Msg_Length,Chunk_Size,Original_Msg_Size
2025-04-29 12:07:16.627621,1,1,ECDH_SECP256R1+KYBER512,Dilithium2,32,32,32,72,2044,8349,11214,4096,4096359
2025-04-29 12:07:46.620189,1,1,ECDH_SECP256R1+KYBER512,Dilithium2,32,32,32,72,2044,8349,11214,4096,4301260
2025-04-29 12:08:06.965981,1,1,ECDH_SECP256R1+KYBER512,Dilithium2,32,32,32,72,2044,8349,11214,4096,4095103
2025-04-29 12:08:38.101076,1,1,ECDH_SECP256R1+KYBER512,Dilithium2,32,32,32,72,2044,8349,11214,4096,16782894
