Timestamp,Client_IP,Connection_ID,TLS_Handshake_Time,Key_Exchange_Time,Hybrid_Key_Generation_Time,Encryption_Time,Decryption_Time,Signing_Time,Signature_Verification_Time,Total_Signing_Time,Total_Encryption_Time,Total_Verifying_Time,Total_Decryption_Time,Total_Time_To_Sent_Or_Receive
20:46.5,"('192.168.1.109', 56780)",1,0.0158855,0.0627136,0.0024802,0.0002163,-1,0.0075617,-1,-1,-1,0.4573448,0.3420765,4.1571568
21:11.2,"('192.168.1.109', 56780)",1,0.0158855,0.0627136,0.0024802,0.0001495,-1,0.0004196,-1,-1,-1,0.4332673,0.320073,3.8947351
21:30.6,"('192.168.1.109', 56780)",1,0.0158855,0.0627136,0.0024802,0.0001719,-1,0.0004815,-1,-1,-1,0.4434723,0.31868,3.5878102
22:31.9,"('192.168.1.109', 56780)",1,0.0158855,0.0627136,0.0024802,8.80E-05,-1,0.000221,-1,-1,-1,2.0391941,1.4838873,27.5184962
,,,,,,0.156425,,2.17095,,,,3.3732785,2.4647168,39.1581983
