Timestamp,Client_IP,Connection_ID,Encryption_Used,Signing_Used,Classic_Encryption_SharedSecret_Length,PQC_Encryption_SharedSecret_Length,Hybrid_AES_Key_Length,Classical_Signature_Length,PQC_Signature_Length,Signed_Msg_Length,Encrypted_Msg_Length,Chunk_Size,Original_Msg_Size
2025-04-23 14:34:21.613424,1,1,ECDH_SECP256R1+KYBER512,Dilithium2,32,32,32,72,2044,8349,11214,4096,3873259
2025-04-23 14:34:54.981467,1,1,ECDH_SECP256R1+KYBER512,Dilithium2,32,32,32,72,2044,8349,11214,4096,3800337
2025-04-23 14:35:18.748006,1,1,ECDH_SECP256R1+KYBER512,Dilithium2,32,32,32,72,2044,8349,11214,4096,3839782
