Timestamp,Client_IP,Connection_ID,Encryption_Used,Signing_Used,Classic_Encryption_SharedSecret_Length,PQC_Encryption_SharedSecret_Length,Hybrid_AES_Key_Length,Classical_Signature_Length,PQC_Signature_Length,Signed_Msg_Length,Encrypted_Msg_Length,Chunk_Size,Original_Msg_Size
2025-05-15 12:15:22.700486,1,1,ECDH_SECP256R1+KYBER1024,Dilithium2,32,32,32,72,2044,8349,11214,4096,4096359
2025-05-15 12:15:23.682049,1,1,ECDH_SECP256R1+KYBER1024,Dilithium2,32,32,32,72,2044,8349,11214,4096,4301260
2025-05-15 12:15:24.589674,1,1,ECDH_SECP256R1+KYBER1024,Dilithium2,32,32,32,72,2044,8349,11214,4096,4095103
